"x1" "x2" "x3" "x4" "y"
31 9 21.1775 81.5488 -149.2
26 15 24.4994 90.3297 -108.0599
36 10 17.4712 66.2425 -165.1186
34 11 22.6693 89.0475 -141.4848
38 9 22.6346 81.4912 -170.5471
25 12 23.3329 90.2378 -28.5782
33 10 22.1731 82.665 -168.0754
18 12 16.2906 66.3845 -75.8482
27 10 19.285 75.7234 -107.1843
36 9 19.686 72.1214 -192.0732
38 5 15.5255 64.8199 -186.9901
29 5 20.6412 76.4387 -167.976
27 14 19.2684 72.2569 -67.1431
39 13 16.1428 61.4585 -183.6878
35 11 15.556 60.8184 -144.1792
32 13 16.0499 64.0393 -121.7249
42 7 18.376 67.3213 -184.0263
36 9 18.8959 71.4768 -144.7108
42 12 23.1661 90.6029 -189.7849
36 11 17.0782 65.398 -156.9104
25 8 18.5998 68.0236 -134.613
40 9 19.6159 78.0821 -172.5555
24 11 18.8691 69.0495 -70.8127
24 14 20.842 81.8541 -72.9192
28 9 20.8527 79.6504 -132.7499
40 13 20.772 81.7672 -177.9521
30 14 20.9958 80.1099 -121.9815
36 12 22.3822 80.0713 -149.3702
29 8 23.9901 91.4872 -134.8849
26 8 24.1472 85.2216 -118.7987
26 14 15.7985 59.3723 -106.5793
26 8 19.0017 73.0557 -135.0262
33 9 15.7585 63.2094 -165.8374
36 17 18.9376 69.3232 -132.5022
36 10 16.5197 58.1171 -141.4344
35 11 23.5588 88.9165 -156.1796
33 12 20.1159 74.4653 -105.8782
36 8 16.495 62.3368 -183.7386
33 6 16.0298 64.7 -144.8671
34 7 18.6782 77.9519 -148.074
31 13 19.7879 74.3817 -151.6333
39 4 20.6749 77.7672 -190.6948
28 8 18.0805 71.0653 -105.0219
29 12 22.7079 90.9733 -140.5598
28 8 24.0751 90.271 -126.5923
26 10 21.5549 79.9791 -84.3335
29 13 19.3863 73.5531 -108.4008
28 12 18.1883 66.4872 -101.1283
40 11 23.4656 88.7464 -167.7442
25 16 19.3251 75.8687 -88.0664
22 12 18.1554 63.9005 -57.1475
25 12 20.1291 80.3222 -89.3476
27 12 24.0174 89.7502 -124.8242
27 9 15.6003 56.8337 -91.1402
33 7 16.0216 59.8391 -146.3679
27 9 23.6295 85.182 -103.5727
32 5 16.7609 65.1176 -147.6413
32 18 22.7614 85.5541 -77.8113
23 8 21.2183 76.7634 -124.6307
31 10 24.4829 91.7232 -143.3651
37 10 20.2041 83.1048 -173.6458
33 12 16.3896 56.5998 -172.7814
38 12 24.3883 88.103 -165.3346
26 10 18.9614 72.4267 -120.1848
31 7 20.573 78.0978 -160.0254
37 6 16.4048 61.9884 -163.507
36 9 22.3992 88.6273 -169.9089
32 17 16.5993 64.776 -120.9903
27 7 21.9144 81.6336 -148.2498
34 7 24.1618 86.0724 -145.9458
25 6 18.3557 69.6897 -129.8718
29 7 23.2788 96.2344 -139.6552
28 6 23.8219 86.9391 -178.7109
33 9 22.8268 84.5417 -154.3138
30 11 22.9873 83.9793 -163.6551
37 10 24.7136 93.1254 -173.3052
35 13 16.4505 58.9431 -121.7185
35 14 24.8688 94.6232 -143.8723
35 11 17.8123 68.3259 -157.3808
30 8 22.7996 87.6989 -160.6908
33 7 22.4887 79.7013 -164.5092
24 8 16.8326 65.3254 -93.2038
36 8 21.5965 87.7563 -164.4304
