"x1" "x2" "x3" "x4" "y"
"1" 2.14 10 0.34 1 28.9
"2" 4.14 10 0.34 1 31
"3" 8.15 10 0.34 1 26.4
"4" 2.14 10 0.34 0.246 27.2
"5" 4.14 10 0.34 0.379 26.1
"6" 8.15 10 0.34 0.474 23.2
"7" 2.14 10 0.34 0.141 19.7
"8" 4.14 10 0.34 0.234 22.1
"9" 8.15 10 0.34 0.311 22.8
"10" 2.14 10 0.34 0.076 29.2
"11" 4.14 10 0.34 0.132 23.6
"12" 8.15 10 0.34 0.184 23.6
"13" 2.14 2.63 0.34 0.679 24.2
"14" 4.14 2.63 0.34 0.804 22.1
"15" 8.15 2.63 0.34 0.89 20.9
"16" 2.14 2.63 0.34 0.514 17.6
"17" 4.14 2.63 0.34 0.672 15.7
"18" 8.15 2.63 0.34 0.801 15.8
"19" 2.14 2.63 0.34 0.346 14
"20" 4.14 2.63 0.34 0.506 17.1
"21" 8.15 2.63 0.34 0.669 18.3
"22" 2.14 2.63 0.34 1 33.8
"23" 4.14 2.63 0.34 1 31.7
"24" 8.15 2.63 0.34 1 28.1
"25" 5.6 1.25 0.34 0.848 18.1
"26" 5.6 1.25 0.34 0.737 16.5
"27" 5.6 1.25 0.34 0.651 15.4
"28" 5.6 1.25 0.34 0.554 15
"29" 4.3 2.63 0.34 0.748 19.1
"30" 4.3 2.63 0.34 0.682 16.2
"31" 4.3 2.63 0.34 0.524 16.3
"32" 4.3 2.63 0.34 0.472 15.8
"33" 4.3 2.63 0.34 0.398 15.4
"34" 5.6 10.1 0.25 0.789 19.2
"35" 5.6 10.1 0.25 0.677 8.4
"36" 5.6 10.1 0.25 0.59 15
"37" 5.6 10.1 0.25 0.523 12
"38" 5.6 10.1 0.34 0.789 21.9
"39" 5.6 10.1 0.34 0.677 21.3
"40" 5.6 10.1 0.34 0.59 21.6
"41" 5.6 10.1 0.34 0.523 19.8
"42" 4.3 10.1 0.34 0.741 21.6
"43" 4.3 10.1 0.34 0.617 17.3
"44" 4.3 10.1 0.34 0.524 20
"45" 4.3 10.1 0.34 0.457 18.6
"46" 2.4 10.1 0.34 0.615 22.1
"47" 2.4 10.1 0.34 0.473 14.7
"48" 2.4 10.1 0.34 0.381 15.8
"49" 2.4 10.1 0.34 0.32 13.2
"50" 5.6 10.1 0.55 0.789 30.8
"51" 5.6 10.1 0.55 0.677 27.5
"52" 5.6 10.1 0.55 0.59 25.2
"53" 5.6 10.1 0.55 0.523 22.8
"54" 2.14 112 0.34 0.68 41.7
"55" 4.14 112 0.34 0.803 33.7
"56" 8.15 112 0.34 0.889 29.7
"57" 2.14 112 0.34 0.514 41.8
"58" 4.14 112 0.34 0.672 37.1
"59" 8.15 112 0.34 0.801 40.1
"60" 2.14 112 0.34 0.306 42.7
"61" 4.14 112 0.34 0.506 48.6
"62" 8.15 112 0.34 0.668 42.4
