Y,X1,X2,X3,X4,X5
10,32,8,90,1,1
13,18,0,75,1,0
2,53,15,148,0,0
0,37,16,178,0,1
9,19,0,103,0,1
4,44,20,100,0,0
2,17,0,130,1,1
2,65,25,123,1,0
10,23,3,110,1,1
9,27,7,120,1,1
0,62,40,180,1,1
9,26,2,136,1,1
6,36,8,102,0,0
6,28,8,139,1,0
7,34,12,153,1,1
5,28,9,118,1,0
0,59,40,181,0,1
0,53,29,194,1,1
1,27,8,118,1,0
8,32,10,139,1,1
11,20,0,72,1,0
0,54,13,185,0,0
2,40,10,184,1,0
7,22,2,131,1,0
6,23,3,106,0,0
8,39,10,82,1,0
8,27,5,143,1,1
8,24,3,144,1,1
6,22,4,152,1,0
6,25,5,118,1,0
3,34,13,193,1,1
5,25,5,170,0,1
6,33,13,193,1,1
5,21,1,174,1,0
0,45,23,284,0,1
0,43,20,125,1,0
2,51,13,116,0,0
0,48,25,222,1,1
11,23,0,119,1,1
6,57,10,86,1,0
5,29,8,213,1,1
6,38,3,156,1,0
0,44,20,231,1,1
0,33,10,241,0,1
0,56,25,231,1,1
2,58,28,134,1,1
0,58,28,165,1,1
0,37,10,229,1,1
