Casa,y,x1,x2,x3,x4,x5,x6,x7,x8,x9
1,29.5,5.0208,1.0,3.5310,1.500,2.0,7,4,62,0
2,27.9,4.5429,1.0,2.2750,1.175,1.0,6,3,40,0
3,25.9,4.5573,1.0,4.0500,1.232,1.0,6,3,54,0
4,29.9,5.0597,1.0,4.4550,1.121,1.0,6,3,42,0
5,29.9,3.8910,1.0,4.4550,0.988,1.0,6,3,56,0
6,30.9,5.8980,1.0,5.8500,1.240,1.0,7,3,51,1
7,28.9,5.6039,1.0,9.5200,1.501,0.0,6,3,32,0
8,35.9,5.8282,1.0,6.4350,1.225,2.0,6,3,32,0
9,31.5,5.3003,1.0,4.9883,1.552,1.0,6,3,30,0
10,31.0,6.2712,1.0,5.5200,0.975,1.0,5,2,30,0
11,30.9,5.9592,1.0,6.6660,1.121,2.0,6,3,32,0
12,30.0,5.0500,1.0,5.0000,1.020,0.0,5,2,46,1
13,36.9,8.2464,1.5,5.1500,1.664,2.0,8,4,50,0
14,41.9,6.6969,1.5,6.9020,1.488,1.5,7,3,22,1
15,40.5,7.7841,1.5,7.1020,1.376,1.0,6,3,17,0
16,43.9,9.0384,1.0,7.8000,1.500,1.5,7,3,23,0
17,37.5,5.9894,1.0,5.5200,1.256,2.0,6,3,40,1
18,37.9,7.5422,1.5,5.0000,1.690,1.0,6,3,22,0
19,44.5,8.7951,1.5,9.8900,1.820,2.0,8,4,50,1
20,37.9,6.0831,1.5,6.7265,1.652,1.0,6,3,44,0
21,38.9,8.3607,1.5,9.1500,1.777,2.0,8,4,48,1
22,36.9,8.1400,1.0,8.0000,1.504,2.0,7,3,3,0
23,45.8,9.1416,1.5,7.3262,1.831,1.5,8,4,31,0
24,25.9,4.9176,1.0,3.4720,0.998,1.0,7,4,42,0
