"y" "x1" "x2" "x3" "x4" "x5" "x6" "x7" "x8" "x9"
"1" 29.5 5.0208 1 3.531 1.5 2 7 4 62 0
"2" 27.9 4.5429 1 2.275 1.175 1 6 3 40 0
"3" 25.9 4.5573 1 4.05 1.232 1 6 3 54 0
"4" 29.9 5.0597 1 4.455 1.121 1 6 3 42 0
"5" 29.9 3.891 1 4.455 0.988 1 6 3 56 0
"6" 30.9 5.898 1 5.85 1.24 1 7 3 51 1
"7" 28.9 5.6039 1 9.52 1.501 0 6 3 32 0
"8" 35.9 5.8282 1 6.435 1.225 2 6 3 32 0
"9" 31.5 5.3003 1 4.9883 1.552 1 6 3 30 0
"10" 31 6.2712 1 5.52 0.975 1 5 2 30 0
"11" 30.9 5.9592 1 6.666 1.121 2 6 3 32 0
"12" 30 5.05 1 5 1.02 0 5 2 46 1
"13" 36.9 8.2464 1.5 5.15 1.664 2 8 4 50 0
"14" 41.9 6.6969 1.5 6.902 1.488 1.5 7 3 22 1
"15" 40.5 7.7841 1.5 7.102 1.376 1 6 3 17 0
"16" 43.9 9.0384 1 7.8 1.5 1.5 7 3 23 0
"17" 37.5 5.9894 1 5.52 1.256 2 6 3 40 1
"18" 37.9 7.5422 1.5 5 1.69 1 6 3 22 0
"19" 44.5 8.7951 1.5 9.89 1.82 2 8 4 50 1
"20" 37.9 6.0831 1.5 6.7265 1.652 1 6 3 44 0
"21" 38.9 8.3607 1.5 9.15 1.777 2 8 4 48 1
"22" 36.9 8.14 1 8 1.504 2 7 3 3 0
"23" 45.8 9.1416 1.5 7.3262 1.831 1.5 8 4 31 0
"24" 25.9 4.9176 1 3.472 0.998 1 7 4 42 0
